DEPARTMENT,FY 2018 ACTUAL,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT PROJECTION (OVER) UNDER ADOPTED BUDGET,TARGET
Office of the Inspector General,1487259,1636311,1680441,1680441,-44130,0
Office of Property Assessment,13434758,14216425,14714490,14714490,-498065,0
Office of Sustainability,908498,949327,963258,963258,-13931,0
Parks and Recreation,64066064,66062181,67198713,67198713,-1136532,0
Planning & Development,8216495,12811669,12973533,12973533,-161864,0
Police,712744848,709492944,711140370,711140370,-1647426,0
Prisons,258968396,249371806,250152237,250152237,-780431,0
Procurement,4789509,4938442,5014187,5014187,-75745,0
Public Health,135237848,156633875,140042886,140042886,16590989,0
Public Property,63077078,67881546,68581774,68581774,-700228,0
Public Property-SEPTA Subsidy,81946000,84608000,84608000,84608000,0,0
Public Property-Space Rentals,21553679,22457948,22457948,22457948,0,0
Public Property-Utilities,24580646,25008269,25008269,25008269,0,0
Records,4429732,4768507,4826755,4826755,-58248,0
Register of Wills,4126862,4438881,4438881,4438881,0,0
Revenue,29308141,30707541,31251491,31251491,-543950,0
Sheriff,28432276,26150422,26212604,26212604,-62182,0
Sinking Fund Commission (Debt Service),265503720,295032504,295032504,295032504,0,0
Streets-Disposal,40077018,39490785,42440785,42440785,-2950000,0
Streets,112473629,102490485,104278956,104278956,-1788471,0
TOTAL GENERAL FUND,4402853857,4725497339,4832726134,4832726134,-107228795,0
